model,family,combination,saved_filename,params,valid_pr_auc,valid_roc_auc,valid_precision,valid_recall,valid_f1,valid_accuracy,train_pr_auc,train_roc_auc,train_precision,train_recall,train_f1,train_accuracy,pr_auc_gap,roc_auc_gap,precision_gap,recall_gap,f1_gap,valid_false_positives,valid_false_negatives,train_false_positives,train_false_negatives,training_time_seconds,training_time_minutes,best_cv_pr_auc,overfitting_gap,Precision (Fraud),Recall (Fraud),F1-Score,False Positives,False Negatives
XGBoost (Combo 11),XGBoost,11,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=4_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.847752,0.983284,0.940252,0.791005,0.859195,0.999568,0.996416,0.999992,0.991477,0.92328,0.956164,0.999859,0.148664,0.016708,0.051226,0.132275,0.096969,19,79,3,29,9.8584,0.1643,0.847752,0.148664,0.940252,0.791005,0.859195,19,79
XGBoost (Combo 63),XGBoost,63,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=4_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8476,0.983487,0.940063,0.78836,0.857554,0.999564,0.975433,0.999919,0.985119,0.875661,0.927171,0.999771,0.127833,0.016431,0.045056,0.087302,0.069617,19,80,5,47,7.1998,0.12,0.8476,0.127833,0.940063,0.78836,0.857554,19,80
XGBoost (Combo 9),XGBoost,9,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=4_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.846526,0.984137,0.942675,0.783069,0.855491,0.999559,0.974629,0.999917,0.985119,0.875661,0.927171,0.999771,0.128103,0.015781,0.042444,0.092593,0.07168,18,82,5,47,7.2189,0.1203,0.846526,0.128103,0.942675,0.783069,0.855491,18,82
XGBoost (Combo 139),XGBoost,139,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.846523,0.981118,0.945338,0.777778,0.853411,0.999555,0.999782,1.0,1.0,0.973545,0.986595,0.999956,0.153259,0.018882,0.054662,0.195767,0.133184,17,84,0,10,5.0986,0.085,0.846523,0.153259,0.945338,0.777778,0.853411,17,84
XGBoost (Combo 117),XGBoost,117,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=4_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.846517,0.98258,0.946372,0.793651,0.863309,0.999581,0.97619,0.999921,0.985075,0.873016,0.925666,0.999766,0.129673,0.017342,0.038702,0.079365,0.062357,17,78,5,48,7.3047,0.1217,0.846517,0.129673,0.946372,0.793651,0.863309,17,78
XGBoost (Combo 133),XGBoost,133,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=4_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.846492,0.982638,0.93949,0.780423,0.852601,0.999551,0.983229,0.999954,0.988131,0.880952,0.931469,0.999784,0.136737,0.017315,0.04864,0.100529,0.078867,19,83,4,45,4.4202,0.0737,0.846492,0.136737,0.93949,0.780423,0.852601,19,83
XGBoost (Combo 72),XGBoost,72,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.845348,0.982515,0.940625,0.796296,0.862464,0.999577,1.0,1.0,1.0,1.0,1.0,1.0,0.154652,0.017485,0.059375,0.203704,0.137536,19,77,0,0,9.6424,0.1607,0.845348,0.154652,0.940625,0.796296,0.862464,19,77
XGBoost (Combo 83),XGBoost,83,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=4_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.845083,0.981142,0.946032,0.78836,0.860029,0.999573,1.0,1.0,1.0,1.0,1.0,1.0,0.154917,0.018858,0.053968,0.21164,0.139971,17,80,0,0,10.3328,0.1722,0.845083,0.154917,0.946032,0.78836,0.860029,17,80
XGBoost (Combo 18),XGBoost,18,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.845042,0.983157,0.940439,0.793651,0.860832,0.999573,1.0,1.0,1.0,1.0,1.0,1.0,0.154958,0.016843,0.059561,0.206349,0.139168,19,78,0,0,9.6229,0.1604,0.845042,0.154958,0.940439,0.793651,0.860832,19,78
XGBoost (Combo 70),XGBoost,70,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.84491,0.982517,0.940625,0.796296,0.862464,0.999577,0.999875,1.0,1.0,0.981481,0.990654,0.999969,0.154965,0.017483,0.059375,0.185185,0.12819,19,77,0,7,6.978,0.1163,0.84491,0.154965,0.940625,0.796296,0.862464,19,77
