model,family,combination,saved_filename,params,valid_pr_auc,valid_roc_auc,valid_precision,valid_recall,valid_f1,valid_accuracy,train_pr_auc,train_roc_auc,train_precision,train_recall,train_f1,train_accuracy,pr_auc_gap,roc_auc_gap,precision_gap,recall_gap,f1_gap,valid_false_positives,valid_false_negatives,train_false_positives,train_false_negatives,training_time_seconds,training_time_minutes,best_cv_pr_auc,overfitting_gap,Precision (Fraud),Recall (Fraud),F1-Score,False Positives,False Negatives
XGBoost (Combo 32),XGBoost,32,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=6_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.841275,0.977848,0.949367,0.793651,0.864553,0.999586,0.999842,1.0,1.0,0.970899,0.985235,0.999952,0.158566,0.022152,0.050633,0.177249,0.120682,16,78,0,11,4.2582,0.071,0.841275,0.158566,0.949367,0.793651,0.864553,16,78
XGBoost (Combo 120),XGBoost,120,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=4_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.840861,0.982401,0.934783,0.796296,0.86,0.999568,0.99218,0.999981,0.988473,0.907407,0.946207,0.999828,0.151319,0.01758,0.05369,0.111111,0.086207,21,77,4,35,7.8676,0.1311,0.840861,0.151319,0.934783,0.796296,0.86,21,77
XGBoost (Combo 25),XGBoost,25,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=4_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.840795,0.982238,0.942675,0.783069,0.855491,0.999559,0.973945,0.99988,0.98806,0.875661,0.928471,0.999775,0.133149,0.017642,0.045385,0.092593,0.07298,18,82,4,47,4.2714,0.0712,0.840795,0.133149,0.942675,0.783069,0.855491,18,82
XGBoost (Combo 3),XGBoost,3,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=3_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.840736,0.982474,0.943038,0.78836,0.85879,0.999568,0.92299,0.99903,0.954955,0.84127,0.894515,0.99967,0.082254,0.016556,0.011917,0.05291,0.035725,18,80,15,60,8.7069,0.1451,0.840736,0.082254,0.943038,0.78836,0.85879,18,80
XGBoost (Combo 12),XGBoost,12,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=4_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.840513,0.983327,0.940625,0.796296,0.862464,0.999577,0.992626,0.999982,0.988539,0.912698,0.949106,0.999837,0.152113,0.016655,0.047914,0.116402,0.086642,19,77,4,33,7.4045,0.1234,0.840513,0.152113,0.940625,0.796296,0.862464,19,77
XGBoost (Combo 75),XGBoost,75,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=3_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.840365,0.982638,0.936709,0.783069,0.853026,0.999551,0.987811,0.99995,0.988235,0.888889,0.935933,0.999797,0.147446,0.017312,0.051526,0.10582,0.082907,20,82,4,42,6.617,0.1103,0.840365,0.147446,0.936709,0.783069,0.853026,20,82
XGBoost (Combo 79),XGBoost,79,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=4_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.840207,0.982245,0.939873,0.785714,0.855908,0.999559,0.980075,0.999929,0.982249,0.878307,0.927374,0.999771,0.139869,0.017685,0.042375,0.092593,0.071467,19,81,6,46,4.4748,0.0746,0.840207,0.139869,0.939873,0.785714,0.855908,19,81
XGBoost (Combo 30),XGBoost,30,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=4_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.840202,0.981554,0.94375,0.798942,0.86533,0.999586,1.0,1.0,1.0,1.0,1.0,1.0,0.159798,0.018446,0.05625,0.201058,0.13467,18,76,0,0,7.7195,0.1287,0.840202,0.159798,0.94375,0.798942,0.86533,18,76
XGBoost (Combo 144),XGBoost,144,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.839889,0.980512,0.942122,0.775132,0.850508,0.999546,1.0,1.0,1.0,1.0,1.0,1.0,0.160111,0.019488,0.057878,0.224868,0.149492,18,85,0,0,9.5793,0.1597,0.839889,0.160111,0.942122,0.775132,0.850508,18,85
XGBoost (Combo 90),XGBoost,90,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.83985,0.981279,0.933121,0.775132,0.846821,0.999533,1.0,1.0,1.0,1.0,1.0,1.0,0.16015,0.018721,0.066879,0.224868,0.153179,21,85,0,0,9.2878,0.1548,0.83985,0.16015,0.933121,0.775132,0.846821,21,85
XGBoost (Combo 66),XGBoost,66,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=4_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.839696,0.983909,0.931677,0.793651,0.857143,0.999559,0.991574,0.999979,0.988439,0.904762,0.944751,0.999824,0.151878,0.01607,0.056762,0.111111,0.087609,22,78,4,36,7.7469,0.1291,0.839696,0.151878,0.931677,0.793651,0.857143,22,78
XGBoost (Combo 14),XGBoost,14,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=6_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.839662,0.982437,0.934375,0.791005,0.856734,0.999559,0.979856,0.999924,0.988131,0.880952,0.931469,0.999784,0.140194,0.017487,0.053756,0.089947,0.074735,21,79,4,45,4.1318,0.0689,0.839662,0.140194,0.934375,0.791005,0.856734,21,79
XGBoost (Combo 10),XGBoost,10,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=4_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.839524,0.983002,0.931889,0.796296,0.858773,0.999564,0.96997,0.99986,0.98209,0.87037,0.922861,0.999758,0.130446,0.016858,0.050201,0.074074,0.064088,22,77,6,49,5.3787,0.0896,0.839524,0.130446,0.931889,0.796296,0.858773,22,77
XGBoost (Combo 28),XGBoost,28,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=4_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.839365,0.98154,0.943925,0.801587,0.866953,0.99959,0.999514,0.999999,0.997297,0.97619,0.986631,0.999956,0.160149,0.018459,0.053372,0.174603,0.119678,18,75,1,9,5.6012,0.0934,0.839365,0.160149,0.943925,0.801587,0.866953,18,75
XGBoost (Combo 111),XGBoost,111,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=3_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.839066,0.982837,0.945513,0.780423,0.855072,0.999559,0.927318,0.999102,0.95509,0.843915,0.896067,0.999674,0.088252,0.016265,0.009577,0.063492,0.040995,17,83,15,59,6.5483,0.1091,0.839066,0.088252,0.945513,0.780423,0.855072,17,83
XGBoost (Combo 61),XGBoost,61,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=4_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.838688,0.983537,0.933544,0.780423,0.850144,0.999542,0.919314,0.998787,0.957958,0.843915,0.897328,0.999678,0.080626,0.01525,0.024414,0.063492,0.047184,21,83,14,59,4.2739,0.0712,0.838688,0.080626,0.933544,0.780423,0.850144,21,83
XGBoost (Combo 142),XGBoost,142,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.838574,0.980047,0.941935,0.772487,0.848837,0.999542,1.0,1.0,1.0,1.0,1.0,1.0,0.161426,0.019953,0.058065,0.227513,0.151163,18,86,0,0,7.1636,0.1194,0.838574,0.161426,0.941935,0.772487,0.848837,18,86
XGBoost (Combo 57),XGBoost,57,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=3_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.838419,0.982229,0.934579,0.793651,0.858369,0.999564,0.924098,0.998989,0.952096,0.84127,0.893258,0.999665,0.085679,0.016761,0.017516,0.047619,0.034889,21,78,16,60,6.3519,0.1059,0.838419,0.085679,0.934579,0.793651,0.858369,21,78
XGBoost (Combo 64),XGBoost,64,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=4_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.838022,0.983837,0.931464,0.791005,0.855508,0.999555,0.966871,0.999848,0.976331,0.873016,0.921788,0.999753,0.128849,0.016011,0.044867,0.082011,0.06628,22,79,8,48,5.5726,0.0929,0.838022,0.128849,0.931464,0.791005,0.855508,22,79
XGBoost (Combo 88),XGBoost,88,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.837591,0.981048,0.936102,0.775132,0.848046,0.999537,1.0,1.0,1.0,1.0,1.0,1.0,0.162409,0.018952,0.063898,0.224868,0.151954,20,85,0,0,7.0311,0.1172,0.837591,0.162409,0.936102,0.775132,0.848046,20,85
XGBoost (Combo 138),XGBoost,138,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=4_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.83745,0.982346,0.941935,0.772487,0.848837,0.999542,1.0,1.0,1.0,1.0,1.0,1.0,0.16255,0.017654,0.058065,0.227513,0.151163,18,86,0,0,8.1805,0.1363,0.83745,0.16255,0.941935,0.772487,0.848837,18,86
XGBoost (Combo 7),XGBoost,7,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=4_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.837135,0.982704,0.933544,0.780423,0.850144,0.999542,0.916541,0.998815,0.952239,0.843915,0.894811,0.99967,0.079406,0.01611,0.018695,0.063492,0.044667,21,83,16,59,4.183,0.0697,0.837135,0.079406,0.933544,0.780423,0.850144,21,83
XGBoost (Combo 26),XGBoost,26,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=4_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.837095,0.98158,0.93865,0.809524,0.869318,0.999595,0.971043,0.999809,0.987952,0.867725,0.923944,0.999762,0.133947,0.018229,0.049302,0.058201,0.054625,20,72,4,50,3.4167,0.0569,0.837095,0.133947,0.93865,0.809524,0.869318,20,72
XGBoost (Combo 19),XGBoost,19,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=3_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.836922,0.98339,0.929936,0.772487,0.843931,0.999524,0.924106,0.999009,0.972393,0.838624,0.900568,0.999692,0.087184,0.015619,0.042456,0.066138,0.056638,22,86,9,61,3.9355,0.0656,0.836922,0.087184,0.929936,0.772487,0.843931,22,86
XGBoost (Combo 73),XGBoost,73,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=3_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.836876,0.984375,0.939297,0.777778,0.850941,0.999546,0.932016,0.99931,0.962733,0.820106,0.885714,0.999648,0.09514,0.014936,0.023436,0.042328,0.034774,19,84,12,68,4.3521,0.0725,0.836876,0.09514,0.939297,0.777778,0.850941,19,84
XGBoost (Combo 115),XGBoost,115,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=4_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.836755,0.982912,0.946032,0.78836,0.860029,0.999573,0.919675,0.998807,0.957704,0.838624,0.894217,0.99967,0.08292,0.015895,0.011672,0.050265,0.034188,17,80,14,61,4.3349,0.0722,0.836755,0.08292,0.946032,0.78836,0.860029,17,80
XGBoost (Combo 118),XGBoost,118,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=4_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.836226,0.982448,0.923547,0.798942,0.856738,0.999555,0.967812,0.999844,0.979042,0.865079,0.918539,0.999744,0.131586,0.017396,0.055495,0.066138,0.061802,25,76,7,51,5.467,0.0911,0.836226,0.131586,0.923547,0.798942,0.856738,25,76
XGBoost (Combo 84),XGBoost,84,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=4_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.835947,0.983124,0.939297,0.777778,0.850941,0.999546,1.0,1.0,1.0,1.0,1.0,1.0,0.164053,0.016876,0.060703,0.222222,0.149059,19,84,0,0,8.2447,0.1374,0.835947,0.164053,0.939297,0.777778,0.850941,19,84
XGBoost (Combo 24),XGBoost,24,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.835876,0.981391,0.943218,0.791005,0.860432,0.999573,0.996646,0.999993,0.991713,0.949735,0.97027,0.999903,0.16077,0.018602,0.048495,0.15873,0.109839,18,79,3,19,6.5728,0.1095,0.835876,0.16077,0.943218,0.791005,0.860432,18,79
XGBoost (Combo 127),XGBoost,127,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=3_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.835841,0.982504,0.935897,0.772487,0.846377,0.999533,0.932647,0.999364,0.968944,0.825397,0.891429,0.999665,0.096805,0.016859,0.033047,0.05291,0.045052,20,86,10,66,4.074,0.0679,0.835841,0.096805,0.935897,0.772487,0.846377,20,86
XGBoost (Combo 60),XGBoost,60,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.83533,0.983299,0.933962,0.785714,0.853448,0.999551,0.950045,0.999665,0.961194,0.851852,0.903226,0.999696,0.114714,0.016366,0.027232,0.066138,0.049778,21,81,13,56,6.5929,0.1099,0.83533,0.114714,0.933962,0.785714,0.853448,21,81
XGBoost (Combo 20),XGBoost,20,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=3_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.835192,0.981821,0.937107,0.78836,0.856322,0.999559,0.923134,0.999254,0.963526,0.838624,0.896747,0.999678,0.087942,0.017433,0.026419,0.050265,0.040425,20,80,12,61,3.2742,0.0546,0.835192,0.087942,0.937107,0.78836,0.856322,20,80
XGBoost (Combo 22),XGBoost,22,XGBoost_colsample_bytree=0.7_learning_rate=0.1_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.834709,0.981459,0.937695,0.796296,0.86123,0.999573,0.976305,0.999887,0.98806,0.875661,0.928471,0.999775,0.141596,0.018428,0.050365,0.079365,0.067241,20,77,4,47,4.6943,0.0782,0.834709,0.141596,0.937695,0.796296,0.86123,20,77
XGBoost (Combo 122),XGBoost,122,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=6_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.834208,0.980907,0.928125,0.785714,0.851003,0.999542,0.975137,0.999866,0.98503,0.87037,0.924157,0.999762,0.140929,0.018959,0.056905,0.084656,0.073154,23,81,5,49,4.1748,0.0696,0.834208,0.140929,0.928125,0.785714,0.851003,23,81
XGBoost (Combo 136),XGBoost,136,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=4_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.834174,0.98301,0.941558,0.767196,0.845481,0.999533,0.999858,1.0,1.0,0.97619,0.987952,0.99996,0.165684,0.016989,0.058442,0.208995,0.142471,18,88,0,9,6.0017,0.1,0.834174,0.165684,0.941558,0.767196,0.845481,18,88
XGBoost (Combo 6),XGBoost,6,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.834082,0.982621,0.9375,0.793651,0.859599,0.999568,0.950882,0.99966,0.963964,0.849206,0.902954,0.999696,0.1168,0.017039,0.026464,0.055556,0.043355,20,78,12,57,6.2732,0.1046,0.834082,0.1168,0.9375,0.793651,0.859599,20,78
XGBoost (Combo 114),XGBoost,114,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.833847,0.981666,0.933962,0.785714,0.853448,0.999551,0.951154,0.999681,0.96997,0.854497,0.908579,0.999714,0.117307,0.018015,0.036008,0.068783,0.055131,21,81,10,55,6.8534,0.1142,0.833847,0.117307,0.933962,0.785714,0.853448,21,81
XGBoost (Combo 140),XGBoost,140,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=6_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.833537,0.97847,0.941558,0.767196,0.845481,0.999533,0.999958,1.0,1.0,0.97619,0.987952,0.99996,0.166421,0.02153,0.058442,0.208995,0.142471,18,88,0,9,4.2922,0.0715,0.833537,0.166421,0.941558,0.767196,0.845481,18,88
XGBoost (Combo 82),XGBoost,82,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=4_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.832854,0.983298,0.941748,0.769841,0.847162,0.999537,0.999895,1.0,1.0,0.97619,0.987952,0.99996,0.167042,0.016701,0.058252,0.206349,0.14079,18,87,0,9,5.7919,0.0965,0.832854,0.167042,0.941748,0.769841,0.847162,18,87
XGBoost (Combo 86),XGBoost,86,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=6_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.831537,0.979397,0.935484,0.767196,0.843023,0.999524,0.999917,1.0,1.0,0.973545,0.986595,0.999956,0.168379,0.020603,0.064516,0.206349,0.143572,20,88,0,10,4.3842,0.0731,0.831537,0.168379,0.935484,0.767196,0.843023,20,88
XGBoost (Combo 132),XGBoost,132,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=3_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.831445,0.982239,0.935065,0.761905,0.83965,0.999515,0.998232,0.999997,0.997199,0.941799,0.968707,0.999899,0.166786,0.017758,0.062134,0.179894,0.129057,20,90,1,22,6.7387,0.1123,0.831445,0.166786,0.935065,0.761905,0.83965,20,90
XGBoost (Combo 58),XGBoost,58,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.830702,0.983821,0.929012,0.796296,0.85755,0.999559,0.916616,0.998979,0.951807,0.835979,0.890141,0.999656,0.085914,0.015158,0.022795,0.039683,0.032591,23,77,16,62,4.9249,0.0821,0.830702,0.085914,0.929012,0.796296,0.85755,23,77
XGBoost (Combo 109),XGBoost,109,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=3_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.830641,0.983699,0.926984,0.772487,0.842713,0.99952,0.877246,0.996518,0.942249,0.820106,0.876945,0.999617,0.046605,0.01282,0.015265,0.047619,0.034232,23,86,19,68,4.2411,0.0707,0.830641,0.046605,0.926984,0.772487,0.842713,23,86
XGBoost (Combo 62),XGBoost,62,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=4_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.830438,0.983857,0.925697,0.791005,0.853067,0.999546,0.90945,0.998482,0.946108,0.835979,0.88764,0.999648,0.079012,0.014625,0.020411,0.044974,0.034573,24,79,18,62,3.6392,0.0607,0.830438,0.079012,0.925697,0.791005,0.853067,24,79
XGBoost (Combo 1),XGBoost,1,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=3_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.83021,0.982177,0.932692,0.769841,0.843478,0.999524,0.875037,0.996184,0.938838,0.812169,0.870922,0.999599,0.044826,0.014007,0.006146,0.042328,0.027444,21,87,20,71,7.3728,0.1229,0.83021,0.044826,0.932692,0.769841,0.843478,21,87
XGBoost (Combo 55),XGBoost,55,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=3_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.830199,0.982226,0.930599,0.780423,0.848921,0.999537,0.874148,0.996233,0.941538,0.809524,0.870555,0.999599,0.043949,0.014007,0.010939,0.029101,0.021634,22,83,19,72,3.9988,0.0666,0.830199,0.043949,0.930599,0.780423,0.848921,22,83
XGBoost (Combo 4),XGBoost,4,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.829976,0.983104,0.9375,0.793651,0.859599,0.999568,0.917943,0.998999,0.954819,0.838624,0.892958,0.999665,0.087967,0.015895,0.017319,0.044974,0.033359,20,78,15,61,4.9315,0.0822,0.829976,0.087967,0.9375,0.793651,0.859599,20,78
XGBoost (Combo 112),XGBoost,112,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=3_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.829949,0.982067,0.928793,0.793651,0.85592,0.999555,0.916192,0.999073,0.951952,0.838624,0.891702,0.999661,0.086244,0.017006,0.023159,0.044974,0.035782,23,78,16,61,5.0165,0.0836,0.829949,0.086244,0.928793,0.793651,0.85592,23,78
XGBoost (Combo 8),XGBoost,8,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=4_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.829554,0.983718,0.928349,0.78836,0.852647,0.999546,0.91573,0.998734,0.949102,0.838624,0.890449,0.999656,0.086176,0.015016,0.020753,0.050265,0.037803,23,80,17,61,3.4892,0.0582,0.829554,0.086176,0.928349,0.78836,0.852647,23,80
